USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.2  25448 10036 ?        Ss   Sep08   0:27 /usr/lib/systemd/systemd --system --deserialize=86 vultr
root          80  0.0  0.0      0     0 ?        S    Sep08   0:00 [irq/46-aerdrv]
root          81  0.0  0.0      0     0 ?        S    Sep08   0:00 [irq/47-aerdrv]
root          82  0.0  0.0      0     0 ?        S    Sep08   0:00 [irq/48-aerdrv]
root          83  0.0  0.0      0     0 ?        S    Sep08   0:00 [irq/49-aerdrv]
root          84  0.0  0.0      0     0 ?        S    Sep08   0:00 [irq/50-aerdrv]
root          85  0.0  0.0      0     0 ?        S    Sep08   0:00 [irq/51-aerdrv]
root          86  0.0  0.0      0     0 ?        S    Sep08   0:00 [irq/52-aerdrv]
root          87  0.0  0.0      0     0 ?        S    Sep08   0:00 [irq/53-aerdrv]
root          88  0.0  0.0      0     0 ?        S    Sep08   0:00 [irq/54-aerdrv]
root          89  0.0  0.0      0     0 ?        S    Sep08   0:00 [irq/55-aerdrv]
root          90  0.0  0.0      0     0 ?        S    Sep08   0:00 [irq/56-aerdrv]
root          91  0.0  0.0      0     0 ?        I<   Sep08   0:00 [kworker/R-acpi_thermal_pm]
root          92  0.0  0.0      0     0 ?        I<   Sep08   0:00 [kworker/R-mld]
root          93  0.0  0.0      0     0 ?        I<   Sep08   0:00 [kworker/R-ipv6_addrconf]
root          94  0.0  0.0      0     0 ?        I<   Sep08   0:00 [kworker/R-kstrp]
root          96  0.0  0.0      0     0 ?        I<   Sep08   0:00 [kworker/u9:0]
root         108  0.0  0.0      0     0 ?        I<   Sep08   0:00 [kworker/R-charger_manager]
root         110  0.0  0.0      0     0 ?        S    Sep08   0:00 [hwrng]
root         164  0.0  0.0      0     0 ?        I<   Sep08   0:00 [kworker/R-tls-strp]
root         214  0.0  0.0      0     0 ?        I<   Sep08   0:00 [kworker/R-ixgbe]
root         318  0.0  0.0      0     0 ?        S    Sep08   0:00 [scsi_eh_0]
root         319  0.0  0.0      0     0 ?        I<   Sep08   0:00 [kworker/R-scsi_tmf_0]
root         320  0.0  0.0      0     0 ?        S    Sep08   0:00 [scsi_eh_1]
root         321  0.0  0.0      0     0 ?        I<   Sep08   0:00 [kworker/R-scsi_tmf_1]
root         322  0.0  0.0      0     0 ?        S    Sep08   0:00 [scsi_eh_2]
root         323  0.0  0.0      0     0 ?        I<   Sep08   0:00 [kworker/R-scsi_tmf_2]
root         324  0.0  0.0      0     0 ?        S    Sep08   0:00 [scsi_eh_3]
root         325  0.0  0.0      0     0 ?        I<   Sep08   0:00 [kworker/R-scsi_tmf_3]
root         326  0.0  0.0      0     0 ?        S    Sep08   0:00 [scsi_eh_4]
root         327  0.0  0.0      0     0 ?        I<   Sep08   0:00 [kworker/R-scsi_tmf_4]
root         328  0.0  0.0      0     0 ?        S    Sep08   0:00 [scsi_eh_5]
root         329  0.0  0.0      0     0 ?        I<   Sep08   0:00 [kworker/R-scsi_tmf_5]
root         337  0.0  0.0      0     0 ?        I<   Sep08   0:00 [kworker/0:1H]
root         338  0.0  0.0      0     0 ?        I<   Sep08   0:03 [kworker/1:1H-kblockd]
root         378  0.0  0.0      0     0 ?        S    Sep08   0:06 [jbd2/vda2-8]
root         379  0.0  0.0      0     0 ?        I<   Sep08   0:00 [kworker/R-ext4-rsv-conversion]
root         504  0.0  0.0      0     0 ?        I<   Sep08   0:00 [kworker/R-kmpathd]
root         505  0.0  0.0      0     0 ?        I<   Sep08   0:00 [kworker/R-kmpath_handlerd]
root         815  0.0  0.0      0     0 ?        S    Sep08   0:00 [card0-crtc0]
root        1095  0.0  0.0      0     0 ?        I<   Sep08   0:00 [kworker/R-cfg80211]
message+    1193  0.0  0.0   9300  3176 ?        Ss   Sep08   0:02 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root        1214  0.0  0.0  19876  2756 ?        Ss   Sep08   0:00 /usr/lib/systemd/systemd-logind
root        1257  0.0  0.0   8096  1100 ttyS1    Ss+  Sep08   0:00 /usr/sbin/agetty --noreset --noclear --issue-file=/etc/issue:/etc/issue.d:/run/issue.d:/usr/lib/issue.d --keep-baud 115200,57600,38400,9600 - vt220
root        1287  0.0  0.0   8488  1048 tty1     Ss+  Sep08   0:00 /usr/sbin/agetty --noreset --noclear --issue-file=/etc/issue:/etc/issue.d:/run/issue.d:/usr/lib/issue.d - linux
root        1309  0.0  0.0 126100  2224 ?        Ssl  Sep08   0:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root        1523  0.0  0.1  22260  6124 ?        Ss   Sep08   0:01 /usr/lib/systemd/systemd --user --deserialize=12
root        1525  0.0  0.0  23024   980 ?        S    Sep08   0:00 (sd-pam)
root       16577  0.0  0.1  15960  6720 ?        S    Sep08   0:14 openvpn --config /tmp/ovpn_slot1_3323722275.conf --dev tun1 --auth-nocache --script-security 2
root       16608  0.0  0.1  15964  4992 ?        S    Sep08   0:15 openvpn --config /tmp/ovpn_slot2_3033392296.conf --dev tun2 --auth-nocache --script-security 2
root      157364  0.0  0.0   7668  1736 ?        Ss   Sep08   0:10 bash -s
root      157391  0.0  0.0   2888   960 ?        S    Sep08   0:00 sh /root/.antigravity-ide-server/bin/2.5.5-ecfbad74d93962fc8ca485d93ab9b4f3d4cb6cf8/bin/antigravity-ide-server --start-server --host=127.0.0.1 --port=0 --connection-token-file /root/.antigravity-ide-server/.ecfbad74d93962fc8ca485d93ab9b4f3d4cb6cf8.token --telemetry-level off --enable-remote-auto-shutdown --accept-server-license-terms
root      157402  0.0  3.2 11965884 112592 ?     Sl   Sep08   2:51 /root/.antigravity-ide-server/bin/2.5.5-ecfbad74d93962fc8ca485d93ab9b4f3d4cb6cf8/node /root/.antigravity-ide-server/bin/2.5.5-ecfbad74d93962fc8ca485d93ab9b4f3d4cb6cf8/out/server-main.js --start-server --host=127.0.0.1 --port=0 --connection-token-file /root/.antigravity-ide-server/.ecfbad74d93962fc8ca485d93ab9b4f3d4cb6cf8.token --telemetry-level off --enable-remote-auto-shutdown --accept-server-license-terms
root      157483  0.1  0.9 1432456 34364 ?       Sl   Sep08   4:46 /root/.antigravity-ide-server/bin/2.5.5-ecfbad74d93962fc8ca485d93ab9b4f3d4cb6cf8/node /root/.antigravity-ide-server/bin/2.5.5-ecfbad74d93962fc8ca485d93ab9b4f3d4cb6cf8/out/bootstrap-fork --type=ptyHost --logsPath /root/.antigravity-ide-server/data/logs/20260908T234007
root      157599  0.0  0.0   7668  1724 ?        Ss   Sep08   0:10 bash -s
root      157789  0.0  0.0   7668  1728 ?        Ss   Sep08   0:10 bash -s
root      184401  0.0  0.0   7932  1884 pts/3    Ss+  Sep09   0:00 /bin/bash --init-file /root/.antigravity-ide-server/bin/2.5.5-ecfbad74d93962fc8ca485d93ab9b4f3d4cb6cf8/out/vs/workbench/contrib/terminal/common/scripts/shellIntegration-bash.sh
root      236407  0.0  0.0   8128  1884 pts/5    Ss+  Sep09   0:00 /bin/bash --init-file /root/.antigravity-ide-server/bin/2.5.5-ecfbad74d93962fc8ca485d93ab9b4f3d4cb6cf8/out/vs/workbench/contrib/terminal/common/scripts/shellIntegration-bash.sh
root      238638  0.0  0.0  41608  3468 ?        Ssl  Sep09   0:13 /root/.vscode-server/code-110a328ea54b42367b803ec53ee0bf52ef26b419 --cli-data-dir /root/.vscode-server/cli agent host
root      248951  0.0  0.0   8136  1884 pts/6    Ss+  Sep09   0:00 /bin/bash --init-file /root/.antigravity-ide-server/bin/2.5.5-ecfbad74d93962fc8ca485d93ab9b4f3d4cb6cf8/out/vs/workbench/contrib/terminal/common/scripts/shellIntegration-bash.sh
root      253572  0.0  0.0   8004  1872 pts/7    Ss+  Sep09   0:00 /bin/bash --init-file /root/.antigravity-ide-server/bin/2.5.5-ecfbad74d93962fc8ca485d93ab9b4f3d4cb6cf8/out/vs/workbench/contrib/terminal/common/scripts/shellIntegration-bash.sh
root      274671  0.0  0.0      0     0 ?        S    Sep09   0:00 [psimon]
root      274712  0.0  0.0   6216    40 tty4     Ss+  Sep09   0:00 /usr/bin/less /var/log/cloud-init.log
root      274713  0.0  0.0   7060  1292 ?        Ss   Sep09   0:00 /usr/sbin/cron -f -P
root      274722  0.0  0.1 279584  6676 ?        SLsl Sep09   0:13 /usr/sbin/multipathd -d -s
systemd+  274739  0.0  0.0  90272  2104 ?        Ssl  Sep09   0:00 /usr/lib/systemd/systemd-timesyncd
root      274745  0.0  0.8 148736 28840 ?        S<s  Sep09   0:53 /usr/lib/systemd/systemd-journald
root      274755  0.0  0.1 318556  4068 ?        Ssl  Sep09   0:00 /usr/libexec/upowerd
root      274756  0.0  0.1 543344  5796 ?        Ssl  Sep09   0:03 /usr/libexec/udisks2/udisksd
root      274760  0.0  0.0  10744  3280 ?        Ss   Sep09   0:57 sshd: /usr/sbin/sshd -D [listener] 1 of 10-100 startups
systemd+  274763  0.0  0.1  22424  4032 ?        Ss   Sep09   0:00 /usr/lib/systemd/systemd-resolved
polkitd   274794  0.0  0.1 382004  3628 ?        Ssl  Sep09   0:03 /usr/lib/polkit-1/polkitd --no-debug --log-level=notice
root      274797  0.0  0.1  38104  4504 ?        Ss   Sep09   0:00 /usr/lib/systemd/systemd-udevd
syslog    274808  0.0  0.0 220548  1956 ?        Ssl  Sep09   0:11 /usr/sbin/rsyslogd -n -iNONE
root      274826  0.0  0.1 391608  4012 ?        Ssl  Sep09   0:00 /usr/sbin/ModemManager
root      274832  0.0  0.0      0     0 ?        S    Sep09   0:00 [psimon]
systemd+  274833  0.0  0.1  24300  5020 ?        Ss   Sep09   0:00 /usr/lib/systemd/systemd-networkd
root      274857  0.0  0.3 1952000 13216 ?       Ssl  Sep09   0:04 /usr/lib/snapd/snapd
root      430193  0.0  0.1  18620  3656 ?        Ss   Sep10   0:00 sshd-session: root [priv]
root      430397  0.0  0.0  20656  3232 ?        S    Sep10   1:03 sshd-session: root@notty
root      430400  0.0  0.0   7668  2328 ?        Ss   Sep10   0:06 bash -s
root      430433  8.6  7.6 33635688 267276 ?     Sl   Sep10 147:31 /root/.antigravity-ide-server/bin/2.5.5-ecfbad74d93962fc8ca485d93ab9b4f3d4cb6cf8/node --dns-result-order=ipv4first /root/.antigravity-ide-server/bin/2.5.5-ecfbad74d93962fc8ca485d93ab9b4f3d4cb6cf8/out/bootstrap-fork --type=extensionHost --transformURIs --useHostProxy=false
